EPC category,EPC type,Construction year,Renovation year,Number of floors,Floor area,Number of basements,Number of stairwells,Number of apartments,Exhaust,Balanced,Balanced with heat exchanger,Exhaust with heat pump,Natural ventilation,Pipe insulation,Door/windows insulation,Cement panel board,Tile/clinker,Carpet glue,Floor mat,Ventilation channel,Gbg
Single-family house,Detached,1935.0,,1.0,40,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,1
Single-family house,Detached,1966.0,,1.0,180,,,,,,,,,,,1.0,,,,,1
Single-family house,Detached,1965.0,,2.0,180,,,,,,,,,1.0,,,1.0,,,,1
Single-family house,Detached,1965.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,1
Single-family house,Detached,1921.0,,1.0,117,,,,,,,,,1.0,,,,,,,1
Single-family house,Detached,1923.0,,1.0,93,,,,,,,,,,,1.0,,,,,1
Single-family house,Detached,1923.0,,1.0,167,,,,,,,,,,,,,,,,1
Single-family house,Detached,1920.0,,2.0,120,,,,,,,,,,,,1.0,,,,1
Single-family house,Detached,1940.0,,,125,,,,,,,,,,,,,,,,1
Single-family house,Detached,1955.0,1965.0,1.0,52,,,,,,,,,,,,,,,,1
Single-family house,Detached,1962.0,,,77,,,,,,,,,,,,,,,,1
Single-family house,Detached,1961.0,1982.0,1.0,51,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,1
Single-family house,Detached,1929.0,,,40,,,,,,,,,,,,,,,,1
Single-family house,Detached,1957.0,1973.0,,70,,,,,,,,,,,,,,,,1
Single-family house,Gable,1970.0,1986.0,2.0,123,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,1
Single-family house,Gable,1970.0,1987.0,2.0,121,,,,,,,,,,,,,,,,1
Single-family house,Detached,1956.0,,,98,,,,,,,,,,,,,,,,1
Single-family house,Detached,1945.0,,1.0,32,,,,,,,,,,,,,,,,1
Single-family house,Detached,1957.0,1960.0,1.0,45,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,1
Single-family house,Detached,1964.0,,1.0,50,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,1
Single-family house,Detached,1947.0,1965.0,,96,,,,,,,,,,,,,,,,1
Single-family house,Detached,1909.0,,1.0,66,1.0,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,1
